Time (s),q1_values_deg,q2_values_deg,q3_values_mm,q1_dot_deg_per_s,q2_dot_deg_per_s,q3_dot_mm_per_s,q1_dotdot_deg_per_s2,q2_dotdot_deg_per_s2,q3_dotdot_mm_per_s2
48.08,1.1976462182095748,86.74388071236646,1.0,-0.007058966161010982,0.011705856151422722,0.0,-0.16013995825403526,0.265558830641055,0.0
48.09,1.1975676051856712,86.74401107600832,1.0,-0.008732920430520874,0.014481759512818826,0.0,-0.1740041082881616,0.2885491986148736,0.0
48.1,1.1974715598009644,86.74417034755672,1.0,-0.010539048326774214,0.017476840123720194,0.0,-0.18659026018108538,0.3094201005637842,0.0
48.11,1.1973568242191357,86.7443606128108,1.0,-0.012464725634142582,0.02067016152409451,0.0,-0.19792956765740666,0.32822317837855053,0.0
48.120000000000005,1.1972222652882816,86.7445837507872,1.0,-0.014497639679922347,0.024041303691291205,0.0,-0.208053185917767,0.3450100784974097,0.0
48.13,1.1970668714255372,86.74484143888462,1.0,-0.01662578935249792,0.027570363094042705,0.0,-0.21699227218674455,0.35983245350479365,0.0
48.14,1.1968897495012316,86.74513515804908,1.0,-0.018837485123657238,0.031237952761387078,0.0,-0.22477798572118068,0.3727419625221273,0.0
48.15,1.196690121723064,86.74546619793985,1.0,-0.021121349066921535,0.03502520234448525,0.0,-0.23144148816434118,0.38379027170520885,0.0
48.160000000000004,1.1964673225198932,86.74583566209597,1.0,-0.023466314886944062,0.038913758195491255,0.0,-0.23701394367470208,0.3930290552034421,0.0
48.17,1.1962207954253252,86.74624447310376,1.0,-0.025861627940415577,0.04288578344855409,0.0,-0.24152651883935228,0.4005099948045654,0.0
48.18,1.1959500899610849,86.74669337776494,1.0,-0.028296845263731107,0.04692395809158256,0.0,-0.2450103830625716,0.4062847803965042,0.0
48.19,1.1956548585200506,86.74718295226559,1.0,-0.03076183560166701,0.05101147905648418,0.0,-0.24749670822998837,0.4104051102160611,0.0
48.2,1.1953348532490515,86.74771360734607,1.0,-0.033246779428330875,0.055132060295903784,0.0,-0.24901666878629491,0.41292269035153595,0.0
48.21,1.194989922931484,86.74828559347151,1.0,-0.03574216897739291,0.059269932863514896,0.0,-0.24960144203944878,0.41388923499141583,0.0
48.22,1.1946200098695037,86.74889900600334,1.0,-0.03823880826911985,0.0634098449957321,0.0,-0.2492822074129375,0.4133564655717237,0.0
48.230000000000004,1.1942251467661016,86.74955379037142,1.0,-0.04072781312565166,0.06753706217494937,0.0,-0.2480901465545804,0.4113761105628555,0.0
48.24,1.1938054536069906,86.75024974724684,1.0,-0.04320061120021146,0.07163736720698921,0.0,-0.24605644365849333,0.40799990557616184,0.0
48.25,1.1933611345420974,86.75098653771556,1.0,-0.045648941998821524,0.0756970602864726,0.0,-0.24321228478063617,0.4032795922981336,0.0
48.26,1.1928924747670142,86.75176368845257,1.0,-0.04806485689582418,0.07970295905295188,0.0,-0.2395888575790206,0.3972669178153865,0.0
48.27,1.1923998374041809,86.75258059689662,1.0,-0.050440719150401936,0.08364239864278034,0.0,-0.23521735144860223,0.3900136342238625,0.0
48.28,1.1918836603840062,86.75343653642543,1.0,-0.052769203924796226,0.08750323173742913,0.0,-0.2301289573580778,0.38157149809592283,0.0
48.29,1.191344453325685,86.75433066153137,1.0,-0.05504329829756349,0.09127382860469879,0.0,-0.22435486732363952,0.3719922695211153,0.0
48.300000000000004,1.190782794418055,86.75526201299752,1.0,-0.05725630127126902,0.09494307712785144,0.0,-0.21792627404870757,0.3613277112535229,0.0
48.31,1.1901993273002596,86.75622952307393,1.0,-0.059401823778537644,0.09850038282976925,0.0,-0.21087437109379437,0.3496295883564926,0.0
48.32,1.1895947579424841,86.75723202065411,1.0,-0.061473788693144904,0.10193566889498129,0.0,-0.203230352670003,0.336949667385511,0.0
48.33,1.1889698515263967,86.75826823645183,1.0,-0.0634664308319377,0.10523937617747947,0.0,-0.19502541286187114,0.32333971510922765,0.0
48.34,1.1883254293258454,86.75933680817766,1.0,-0.06537429695038233,0.10840246319716584,0.0,-0.18629074569287418,0.3088514982252377,0.0
48.35,1.187662365587389,86.76043628571577,1.0,-0.06719224574579519,0.11141640614198423,0.0,-0.17705754510544125,0.2935367826495394,0.0
48.36,1.1869815844109295,86.7615651363005,1.0,-0.06891544785249115,0.11427319885015663,0.0,-0.16735700438696988,0.2774473325217741,0.0
48.370000000000005,1.1862840566303392,86.76272174969277,1.0,-0.07053938583353458,0.11696535279241971,0.0,-0.15722031595444275,0.26063490963679214,0.0
