Time[s],X_Position,Y_Position,Z_Position
93.72,7.498916879769601,11.187,1.0
93.73,7.4925133552854,11.187,1.0
93.74,7.4864018825472005,11.187,1.0
93.75,7.480587890625001,11.187,1.0
93.76,7.4750758806528,11.187,1.0
93.77,7.4698693871646,11.187,1.0
93.78,7.4649709394304,11.187,1.0
93.79,7.460382022792201,11.187,1.0
93.8,7.45610304,11.187,1.0
93.81,7.452133272547801,11.187,1.0
93.82000000000001,7.448470842009601,11.187,1.0
93.83,7.4451126713754,11.187,1.0
93.84,7.4420544463872,11.187,1.0
93.85000000000001,7.439290576874999,11.187,1.0
93.86,7.436814158092801,11.187,1.0
93.87,7.434616932054599,11.187,1.0
93.88,7.4326892488704,11.187,1.0
93.89,7.4310200280822,11.187,1.0
93.9,7.429596719999999,11.187,1.0
93.91,7.4284052670378005,11.187,1.0
93.92,7.427430065049599,11.187,1.0
93.93,7.4266539246654,11.187,1.0
93.94,7.426058032627201,11.187,1.0
93.95,7.425621913125,11.187,1.0
93.96000000000001,7.425323389132799,11.187,1.0
93.97,7.425138543744599,11.187,1.0
93.98,7.4250416815104,11.187,1.0
93.99,7.4250052897722,11.187,1.0
94.0,7.425000000000001,11.187,1.0
94.01,7.424988327038999,11.186988327039,1.0
94.02,7.424908021247999,11.186908021248001,1.0
94.03,7.424694274977,11.186694274977,1.0
94.04,7.424286375936,11.186286375935998,1.0
94.05,7.423627621874999,11.185627621875,1.0
94.06,7.422665235264001,11.184665235264,1.0
94.07000000000001,7.4213502779730005,11.183350277972998,1.0
94.08,7.419637565951999,11.181637565952,1.0
94.09,7.417485583911,11.179485583911001,1.0
94.10000000000001,7.4148564,11.176856399999998,1.0
94.11,7.411715580489,11.173715580488999,1.0
94.12,7.408032104448,11.170032104448,1.0
94.13,7.403778278427,11.165778278427,1.0
94.14,7.398929651136,11.160929651136,1.0
94.15,7.393464928125001,11.155464928125,1.0
94.16,7.387365886464,11.149365886464,1.0
94.17,7.380617289423,11.142617289422999,1.0
94.18,7.373206801152,11.135206801152,1.0
94.19,7.365124901361001,11.127124901361,1.0
94.2,7.3563648,11.1183648,1.0
94.21000000000001,7.346922351939,11.108922351939,1.0
94.22,7.336795971648,11.098795971648,1.0
94.23,7.325986547877,11.087986547877001,1.0
94.24,7.314497358336,11.076497358335999,1.0
94.25,7.302333984375,11.064333984374999,1.0
94.26,7.289504225664,11.051504225664,1.0
94.27,7.276018014873,11.038018014873,1.0
94.28,7.261887332352001,11.023887332351999,1.0
94.29,7.247126120811,11.009126120811,1.0
94.3,7.2317502000000005,10.993750200000001,1.0
94.31,7.215777181389001,10.977777181389,1.0
94.32000000000001,7.199226382848001,10.961226382848,1.0
94.33,7.182118743327,10.944118743327,1.0
94.34,7.164476737536001,10.926476737536,1.0
94.35000000000001,7.146324290625,10.908324290625002,1.0
94.36,7.127686692864,10.889686692864,1.0
94.37,7.108590514323,10.870590514323,1.0
94.38,7.089063519552,10.851063519552,1.0
94.39,7.069134582261,10.831134582261,1.0
94.4,7.048833600000001,10.8108336,1.0
94.41,7.0281914088390005,10.790191408839,1.0
